FILIAL	SEQ. SKU(s)	DESCRIÇÃO	EAN	UND EAN	DUN	UND DUN
201	01.04.0067	MASSA CONGELADA DE PÃO DE QUEIJO RECHEADO DE GOIABADA 65G – CX 10 KG – 5 UN DE 2 KG	7898694173857	PT	17898694173854	CAIXA
201	01.06.0001	CIABATTA TRADICIONAL - 10UN - PCT 1 KG - CX 4 KG	7898694171501	PT	27898694171505	CAIXA
201	01.06.0002	CIABATTA MULTIGRAOS - 10UN - PCT 1 KG - CX 4 KG	7898694173178	PT	17898694173175	CAIXA
201	01.06.0022	PAO DE AZEITONA 500G - PCT 3 KG - CX 6 KG	7898694173611	PT	17898694173618	CAIXA
201	01.06.0024	PAO DE CALABRESA 500G - PCT 3 KG - CX 6 KG	7898694171013	PT	17898694171010	CAIXA
201	01.06.0027	PAO DE 3 CHOCOLATES - 10 UN - PCT 3 KG - CX 6 KG	7898694171488	PT	27898694171482	CAIXA
201	01.06.0030	MINI BAGUETE RUSTICA TRADICIONAL - CX 5KG - 2 UN DE 2,5KG	7898694170634	PT	17898694170631	CAIXA
201	01.06.0034	BAGUETE FRANCESA COM GRAOS - 6KG	7898694170436	PT	17898694170433	CAIXA
201	01.09.0007	CIABATTA HOMEBAKE TRADICIONAL 3,6KG - 12 UNIDADES 300G	7898694170009	PT	17898694170006	CAIXA
201	01.09.0008	CIABATTA HOMEBAKE COM GRAOS 3,6KG - 12 UNIDADES 300G	7898694170016	PT	17898694170013	CAIXA
201	01.09.0009	MINI PAO ITALIANO HOMEBAKE 4,2KG - 14 UNIDADES 300G	7898694170047	PT	27898694170041	CAIXA
201	01.09.0010	MINI BAGUETE LANCHE HOMEBAKE 3,6KG - 12 UNIDADES 300G	7898694170054	PT	27898694170058	CAIXA
201	01.09.0011	PAO DE HAMBURGUER HOMEBAKE CROC 3,12KG - 12 UNIDADES 260G	7898694170061	PT	17898694170068	CAIXA
201	01.09.0012	PAO FRANCES HOMEBAKE 3,24KG - 12 UNIDADES 270G	7898694171884	PT	17898694171881	CAIXA
201	01.10.0003	CIABATTA TRADICIONAL LEVIASSA 220 G	7898694172621	PT	17898694172628	CAIXA
201	01.10.0004	CIABATTA COM GRAOS LEVIASSA 220G	7898694173703	PT	17898694173700	CAIXA
201	01.10.0005	MINI PAO ITALIANO LEVIASSA 240G	7898694172638	PT	27898694172632	CAIXA
201	01.10.0006	MINI BAGUETE FRANCESA LEVIASSA - 240 G	7898694173505	PT	17898694173502	CAIXA
201	01.10.0013	MINI BAGUETE FRANCESA LEVIASSA - PT 0,240 KG - CX 2,88 KG - 12 UN	7898694173505	PT	27898694173509	CAIXA
201	01.06.0058	PAO ITALIANO FILAO - CX 5,04 KG - 7 UN DE 720G	7898694171655	PT	27898694171659	CAIXA
201	01.06.0059	PAO ITALIANO BOLA - CX 5,04KG - 7 UN DE 720G	7898694171662	PT	17898694171669	CAIXA
201	01.10.0014	CIABATTA TRADICIONAL LEVIASSA- PT 0,220 KG- CX 2,64 KG- 12 UN	7898694172621	PT	27898694172625	CAIXA
201	02.01.0004	PAO DE QUEIJO FORNO DE MINAS ASSADO CONGELADO RECHEADO REQUEIJAO MAX LANCHE	7896074605974	-	17896074605971	CAIXA
201	02.01.0005	PAO DE QUEIJO FORNO DE MINAS ASSADO CONGELADO MAX LANCHE	7896074605141	-	17896074605148	CAIXA
201	02.01.0007	MASSA CONGELADA DE PALITO 3 QUEIJOS - CX 12 KG - PT 06 UN	7898958973391	-	17898958973398	CAIXA
201	02.02.0028	ESPETO DE FRANGO FRITO 90G - CX 40 UN	7898688691244	-	17898688691241	CAIXA
201	02.02.0029	RISOLES LAMINADO FRITO DE FRANGO 150G	7898602744001	-	17898602744008	CAIXA
201	02.02.0030	RISOLES LAMINADO FRITO DE CARNE 150G	7898602744018	-	17898602744015	CAIXA
201	02.02.0031	EMPADA DE FRANGO COM REQUEIJÃO - CX 8 KG - PT 04 UN	7898958973711	-	17898958973712	CAIXA
201	02.02.0032	MASSA CONGELADA DE CROISSANT DE 3 QUEIJOS - CX 11 KG - PT 05 UN	7898663032789	-	17898663032786	CAIXA
201	02.02.0033	MASSA CONGELADA DE CROISSANT DE CHOCOLATE - CX 11 KG - PT 05 UN	7898663031911	-	17898663031918	CAIXA
201	02.02.0034	MASSA CONGELADA DE CROISSANT DE FRANGO COM REQUEIJAO - CX 11 KG - PT 05 UN	7898663031928	-	17898663031925	CAIXA
201	02.02.0035	MASSA CONGELADA DE CROISSANT DE QUEIJO E PRESUNTO FATIADO - CX 11 KG - PT 05 UN	7898663032796	-	17898663032793	CAIXA
201	02.02.0036	MASSA CONGELADA DE CROISSANT SEM RECHEIO - CX 12 KG - PT 06 UN	7898958973971	-	17898958973978	CAIXA
201	02.03.0001	PAO DE SONHO CONGELADO - CX 2,5KG	7898957727193	-	17898957727190	CAIXA
201	02.03.0013	PAO DE MINI SONHO CONGELADO - 100UN - CX 2,5KG	7898957727209	-	17898957727206	CAIXA
201	02.03.0039	BAGUETE CALABRESA COM CEBOLA CARAMELIZADA 140G	7898652584282	-	37898652584283	CAIXA
201	02.03.0041	BOLO DE CENOURA C/ COBERTURA - 2UN	7896061557132	-	30712345000010	CAIXA
201	02.03.0042	BAGUETE PARMESAO PERNIL - CX10UN	7898914427821	-	17898914427828	CAIXA
201	02.03.0043	BAGUETE GERGELIM CARNE MOIDA - CX 10UN	7898914427814	-	17898914427811	CAIXA
201	02.04.0001	MASSA CONGELADA DE PÃO FRANCÊS BOLA 62,5G - 50 UNIDADES - 3,125 KG	7898059712714	PCT		-
201	02.04.0002	MASSA CONGELADA DE PÃO DE HOT DOG 60G - 50 UNIDADES - 3,000 KG	7898059712721	PCT		-
201	02.04.0003	MASSA CONGELADA DE HAMBÚRGUER 70G - 35 UNIDADES - 2,450 KG	7898059712738	PCT		-
201	02.04.0004	FILAO DE LEITE 300G - 6 UNIDADES - 1,800KG	7898059712745	PCT		-
201	02.04.0005	PAO SOVADO 400G - 4 UNIDADES - 1,600KG	7898059712660	PCT		-
201	02.04.0006	BASTAO DOCE 160G - 10 UNIDADES - 1,600KG	7898059712677	PCT		-
201	02.04.0012	PAO DE MILHO BOLEADO - 5 KG	7898059712615	PCT		-
201	02.04.0013	PAO DE BATATA BOLEADO - 5 KG	7898059712622	PCT		-
201	02.04.0014	PAO DE CEBOLA BOLEADO - 5 KG	7898059712639	PCT		-
202	01.01.0001	MASSA CONGELADA DE PAO FRANCES RAPIDA - 5KG	7898694171204	PT		N/A
202	01.01.0002	MASSA CONGELADA DE PAO FRANCES MEDIA - 5KG	7898694171211	PT		N/A
202	01.02.0001	MASSA CONGELADA DE MINI PAO FRANCES RAPIDA - 5KG	7898694171266	PT		N/A
202	01.02.0001	MASSA CONGELADA DE MINI PAO FRANCES RAPIDA - 5KG	7898694171266	KG	17898694171263	-
202	01.02.0005	MASSA CONGELADA DE PAO FRANCES INTEGRAL RAPIDA - 5KG	7898694171235	PT	17898694171232	N/A
202	01.02.0005	MASSA CONGELADA DE PAO FRANCES INTEGRAL RAPIDA - 5KG	7898694171235	KG	17898694171232	-
202	01.02.0007	MASSA CONGELADA DE PAO FRANCES COM GRAOS RAPIDA - 5KG	7898694171341	PT		N/A
202	01.02.0007	MASSA CONGELADA DE PAO FRANCES COM GRAOS RAPIDA - 5KG	7898694171341	KG		-
202	01.02.0009	MASSA CONGELADA DE BAGUETE RAPIDA - 5KG	7898694171327	PT		N/A
202	01.02.0011	MASSA CONGELADA DE MINI BAGUETE RAPIDA - 5KG	7898694171280	PT		N/A
202	01.03.0019	MASSA CONGELADA DE ROSCA LISA (PAO DE LEITE) - CX 10 KG - 2 UN DE 5KG	7898694170801	PT	27898694170805	N/A
202	01.04.0001	MASSA CONGELADA DE PAO DE QUEIJO TRADICIONAL PEQUENO 30G - 7KG	7898694170238	PT		N/A
202	01.04.0002	MASSA CONGELADA DE PAO DE QUEIJO TRADICIONAL GRANDE 90G - 7KG	7898694171570	PT		N/A
202	01.04.0003	MASSA CONGELADA DE PAO DE QUEIJO EMPANADO BENJAMIN DE 15G - 4 KG	7898694171594	PT		N/A
202	01.04.0004	MASSA CONGELADA DE PAO DE QUEIJO EMPANADO BENJAMIN DE 80G - 4 KG	7898694173031	PT		N/A
202	01.04.0005	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO COM GOIABADA 100G - 1KG	7898694171600	PT		N/A
202	01.04.0006	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO COM REQUEIJAO BENJAMIN DE 100G - 1 KG	7898694171617	PT	27898694171611	N/A
202	01.04.0008	PAO DE QUEIJO EMPANADO 30G - CX 10KG - 5 UN DE 2KG	7898694170306	PT	17898694170303	CAIXA
202	01.04.0009	PAO DE QUEIJO MULTIGRAOS EMPANADO 30G - CX 10KG - 5 UN DE 2KG	7898694170313	PT	17898694170310	CAIXA
202	01.04.0010	MASSA CONGELADA DE PAO DE QUEIJO TRADICIONAL CLASSE A - FR 8KG - 8 UN DE 1KG	7898966947360	PT		N/A
202	01.04.0011	MASSA CONGELADA DE PAO DE QUEIJO PREMIUM CLASSE A - FR 8KG - 20UN DE 400G	7898966947377	PT		N/A
202	01.04.0014	MASSA CONGELADA DE PAO DE QUEIJO ST MARCHE 30G - CX 8KG - 20 UN DE 400G	7898694172591	PT		N/A
202	01.04.0019	MASSA CONGELADA DE CHIPA QUEIJO CANASTRA 45G - 4KG	7898694172454	PT		N/A
202	01.04.0020	MASSA CONGELADA DE BISCOITO PALITO 3 QUEIJOS 45G - 4KG	7898694172447	PT		N/A
202	01.04.0021*	MASSA CONGELADA DE PÃO DE QUEIJO RECHEADO DE GOIABADA 65G - 2KG	7898694172010	PT	97898694172013	CAIXA
202	01.04.0022*	MASSA CONGELADA DE PÃO DE QUEIJO RECHEADO DE REQUEIJÃO 65G - 2KG	7898694172027	PT	97898694172020	CAIXA
202	01.04.0024	MASSA CONGELADA DE CHIPA TRADICIONAL 35G - 2KG	7898694172126	PT		N/A
202	01.04.0031	M. CONG. DE PAO DE QUEIJO CHEIRIN BAO 13G - CX 10KG - 10 UN DE 1KG	7898694172515	PT	97898694172518	CAIXA
202	01.04.0032	M. CONG. DE PAO DE QUEIJO CHEIRIN BAO 80G - CX 10KG - 10 UN DE 1KG	7898694172522	PT	97898694172525	CAIXA
202	01.04.0054	MASSA CONGELADA DE PÃO DE QUEIJO RECHEADO DE GOIABADA 30 G ST MARCHE - PT 0,4 KG	7898694171952	PT	17898694171959	CAIXA
202	01.04.0055	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO DE REQUEIJÃO 30G ST MARCHE - PT 0,4 KG	7898694172171	PT	27898694172175	CAIXA
202	01.04.0058	MASSA CONGELADA DE PAO DE QUEIJO TRADICIONAL PEQUENO 30G - CX 10KG - 5 UN DE 2KG	7898694173758	PT	17898694173755	CAIXA
202	01.04.0059	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO COM GOIABADA - CX 10KG - 5 UN DE 2KG	7898694173772	PT	17898694173779	CAIXA
202	01.04.0060	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO COM REQUEIJAO - CX 10 KG - 5 UN DE 2 KG	7898694173789	PT	17898694173786	CAIXA
202	01.04.0061	MASSA CONGELADA DE CHIPA TRADICIONAL - CX 10 KG - 5 UN DE 2 KG	7898694172126	PT	17898694172123	CAIXA
202	01.04.0062	MASSA CONGELADA DE PAO DE QUEIJO TRADICIONAL GRANDE 65G - CX 10 KG - 5 UN DE 2 KG	7898694173765	PT	17898694173762	CAIXA
202	01.04.0063	MASSA CONGELADA DE CHIPA QUEIJO CANASTRA 45G – CX 10 KG – 5 UN DE 2 KG	7898694173802	PT	17898694173809	CAIXA
202	01.04.0064	MASSA CONGELADA DE BISCOITO PALITO 3 QUEIJOS 45G – CX 10 KG – 5 UN DE 2 KG	7898694173109	PT	17898694173106	CAIXA
202	01.04.0066	MASSA CONGELADA DE PÃO DE QUEIJO RECHEADO DE REQUEIJÃO 65G – CX 10 KG – 5 UN DE 2 KG	7898694173796	PT	17898694173793	CAIXA
202	01.04.0067	MASSA CONGELADA DE PÃO DE QUEIJO RECHEADO DE GOIABADA 65G – CX 10 KG – 5 UN DE 2 KG	7898694173857	PT	17898694173854	CAIXA
202	01.06.0001	CIABATTA TRADICIONAL - 10UN - PCT 1 KG - CX 4 KG	7898694171501	PT	27898694171505	CAIXA
202	01.06.0002	CIABATTA MULTIGRAOS - 10UN - PCT 1 KG - CX 4 KG	7898694173178	PT	17898694173175	CAIXA
202	01.06.0022	PAO DE AZEITONA 500G - PCT 3 KG - CX 6 KG	7898694173611	PT	17898694173618	CAIXA
202	01.06.0024	PAO DE CALABRESA 500G - PCT 3 KG - CX 6 KG	7898694171013	PT	17898694171010	CAIXA
202	01.06.0027	PAO DE 3 CHOCOLATES - 10 UN - PCT 3 KG - CX 6 KG	7898694171488	PT	27898694171482	CAIXA
202	01.06.0030	MINI BAGUETE RUSTICA TRADICIONAL - CX 5KG - 2 UN DE 2,5KG	7898694170634	PT	17898694170631	CAIXA
202	01.06.0033	BAGUETE FRANCESA TRADICIONAL - 6KG	7898694170443	PT	97898694170446	CAIXA
202	01.06.0034	BAGUETE FRANCESA COM GRAOS - 6KG	7898694170436	PT	17898694170433	CAIXA
202	01.06.0058	PAO ITALIANO FILAO - CX 5,04 KG - 7 UN DE 720G	7898694171655	PT	27898694171659	CAIXA
202	01.06.0059	PAO ITALIANO BOLA - CX 5,04KG - 7 UN DE 720G	7898694171662	PT	17898694171669	CAIXA
202	01.09.0007	CIABATTA HOMEBAKE TRADICIONAL 3,6KG - 12 UNIDADES 300G	7898694170009	PT	17898694170006	CAIXA
202	01.09.0008	CIABATTA HOMEBAKE COM GRAOS 3,6KG - 12 UNIDADES 300G	7898694170016	PT	17898694170013	CAIXA
202	01.09.0009	MINI PAO ITALIANO HOMEBAKE 4,2KG - 14 UNIDADES 300G	7898694170047	PT	27898694170041	CAIXA
202	01.09.0010	MINI BAGUETE LANCHE HOMEBAKE 3,6KG - 12 UNIDADES 300G	7898694170054	PT	27898694170058	CAIXA
202	01.09.0011	PAO DE HAMBURGUER HOMEBAKE CROC 3,12KG - 12 UNIDADES 260G	7898694170061	PT	17898694170068	CAIXA
202	01.09.0012	PAO FRANCES HOMEBAKE 3,24KG - 12 UNIDADES 270G	7898694171884	PT	17898694171881	CAIXA
202	01.10.0003	CIABATTA TRADICIONAL LEVIASSA 220 G	7898694172621	PT	17898694172628	CAIXA
202	01.10.0004	CIABATTA COM GRAOS LEVIASSA 220G	7898694173703	PT	17898694173700	CAIXA
202	01.10.0005	MINI PAO ITALIANO LEVIASSA 240G	7898694172638	PT	27898694172632	CAIXA
202	01.10.0006	MINI BAGUETE FRANCESA LEVIASSA - 240 G	7898694173505	PT	17898694173502	CAIXA
202	01.10.0013	MINI BAGUETE FRANCESA LEVIASSA - PT 0,240 KG - CX 2,88 KG - 12 UN	7898694173505	PT	27898694173509	CAIXA
202	02.01.0007	MASSA CONGELADA DE PALITO 3 QUEIJOS - CX 12 KG - PT 06 UN	7898958973391	-	17898958973398	CAIXA
202	02.02.0031	EMPADA DE FRANGO COM REQUEIJÃO - CX 8 KG - PT 04 UN	7898958973711	-	17898958973712	CAIXA
202	02.02.0032	MASSA CONGELADA DE CROISSANT DE 3 QUEIJOS - CX 11 KG - PT 05 UN	7898663032789	-	17898663032786	CAIXA
202	02.02.0033	MASSA CONGELADA DE CROISSANT DE CHOCOLATE - CX 11 KG - PT 05 UN	7898663031911	-	17898663031918	CAIXA
202	02.02.0034	MASSA CONGELADA DE CROISSANT DE FRANGO COM REQUEIJAO - CX 11 KG - PT 05 UN	7898663031928	-	17898663031925	CAIXA
202	02.02.0035	MASSA CONGELADA DE CROISSANT DE QUEIJO E PRESUNTO FATIADO - CX 11 KG - PT 05 UN	7898663032796	-	17898663032793	CAIXA
202	02.02.0036	MASSA CONGELADA DE CROISSANT SEM RECHEIO - CX 12 KG - PT 06 UN	7898958973971	-	17898958973978	CAIXA
202	02.03.0001	PAO DE SONHO CONGELADO - CX 2,5KG	7898957727193	-	17898957727190	CAIXA
202	02.03.0002	BISNAGA DE CREME DE CONFEITEIRO - 1,1 KG	7898963416364	FRD	27898963416368	FRD
202	02.04.0001	MASSA CONGELADA DE PÃO FRANCÊS BOLA 62,5G - 50 UNIDADES - 3,125 KG	7898059712714	PCT		-
202	02.04.0002	MASSA CONGELADA DE PÃO DE HOT DOG 60G - 50 UNIDADES - 3,000 KG	7898059712721	PCT		-
202	02.04.0003	MASSA CONGELADA DE HAMBÚRGUER 70G - 35 UNIDADES - 2,450 KG	7898059712738	PCT		-
202	02.04.0004	FILAO DE LEITE 300G - 6 UNIDADES - 1,800KG	7898059712745	PCT		-
202	02.04.0005	PAO SOVADO 400G - 4 UNIDADES - 1,600KG	7898059712660	PCT		-
202	02.04.0006	BASTAO DOCE 160G - 10 UNIDADES - 1,600KG	7898059712677	PCT		-
202	02.04.0012	PAO DE MILHO BOLEADO - 5 KG	7898059712615	PCT		-
202	02.04.0013	PAO DE BATATA BOLEADO - 5 KG	7898059712622	PCT		-
202	02.04.0014	PAO DE CEBOLA BOLEADO - 5 KG	7898059712639	PCT		-
