sku	descricao	medida_cx	cubagem	peso_cx	padrao_plt	conversao	categoria	pedido_med_abril	pedido_max_abril	media_5_dias	estoque_ideal_max	estoque_ideal_med	estoque_ideal_min	dias_estoque_max	dias_estoque_med	dias_estoque_min	posicoes_max	posicoes_med	posicoes_min	estoque_atual	posicao_atual	status_condicional
01.01.0001	MASSA CONGELADA DE PAO FRANCES RAPIDA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	A	6354	10156	6284	25137	18853	12568	4	3	2	114	86	57	4840	22	Vermelho
01.01.0002	MASSA CONGELADA DE PAO FRANCES MEDIA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	B	956	1732	1115	7803	5574	3344	7	5	3	35	25	15	440	2	Vermelho
01.02.0001	MASSA CONGELADA DE MINI PAO FRANCES RAPIDA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	B	106	205	94	660	471	283	7	5	3	3	2	1	1660	8	Excedido
01.02.0003	MASSA CONGELADA DE MINI PAO FRANCES INTEGRAL RAPIDA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	C	21	33	15	135	90	60	9	6	4	1	1	1	72	1	Verde
01.02.0005	MASSA CONGELADA DE PAO FRANCES INTEGRAL RAPIDA - 5KG	37X36X9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	B	150	308	158	1103	788	473	7	5	3	5	4	2	304	1	Vermelho
01.02.0007	MASSA CONGELADA DE PAO FRANCES COM GRAOS RAPIDA - 5KG	37x36x9	0.011988	5	LASTRO 12 - ALT 18 + 4 UNID = 220 PCT	220	B	303	558	217	1518	1084	650	7	5	3	7	5	3	180	1	Vermelho
01.02.0011	MASSA CONGELADA DE MINI BAGUETE RAPIDA - 5KG	PCT			18X12+4 = 220	220	C	11	44	10	90	60	40	9	6	4	1	1	1	36	1	Verde
01.03.0019	ROSCA LISA (PAO DE LEITE) - CX 10 KG -2 UN DE 5 KG	39X30X23	0.02691	10.53	LASTRO 10x7 = 70	70	C	27	63	25	223	149	99	9	6	4	3	2	1	169	2	Verde
01.04.0008	PAO DE QUEIJO EMPANADO 30G - CX 10KG - 5 UN DE 2KG	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	B	227	367	229	1603	1145	687	7	5	3	23	16	10	280	4	Vermelho
01.04.0009	PAO DE QUEIJO MULTIGRAOS EMPANADO 30G - CX 10KG - 5 UN DE 2KG	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D	3	7	5	18	14	9	4	3	2	1	1	1	0	1	Verde
01.04.0014	MASSA CONG. DE PAO DE QJ ST MARCHE 30G - CX 8KG - 20 UN DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	C	31	80	33	297	198	132	9	6	4	4	3	2	67	1	Vermelho
01.04.0025	M. CONG. DE CHIPA QJ CANASTRA ST MARCHE 45G - 20 PCTS DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D	6	13	9	34	26	17	4	3	2	1	1	1	36	1	Verde
01.04.0026	M. CONG. DE BISC. PALITO 3 QJ ST MARCHE 45G - 20 PCTS DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D	5	12	5	20	15	10	4	3	2	1	1	1	35	1	Verde
01.04.0054	PAO DE QJ RECH. DE GOIABADA ST MARCHE 30G - 20 PCTS DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D	0		0	0	0	0	4	3	2	1	1	1	34	1	Verde
01.04.0055	PAO DE QJ RECHEADO DE REQ. ST MARCHE 30G - 20 PCTS DE 400G	39X30X23	0.00207	10.53	LASTRO 10x7 = 70	70	D	8	20	8	32	24	16	4	3	2	1	1	1	86	1	Verde
01.04.0058	MASSA CONGELADA DE PÃO DE QUEIJO TRAD. PEQUENO- CX 10 KG- 5UN DE 2 KG	CX			10X7 = 70	70	C	22	48	24	213	142	95	9	6	4	3	2	1	53	1	Amarelo
01.04.0060	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO COM REQUEIJAO - CX 10 KG - 5 UN DE 2 KG	CX			10X7 = 70	70	D	2	5	1	4	3	2	4	3	2	1	1	1	23	1	Verde
01.04.0061	MASSA CONGELADA DE CHIPA TRADICIONAL - CX 10 KG - 5 UN DE 2 KG	CX			10X7 = 70	70	D	2	2	2	8	6	4	4	3	2	1	1	1	20	1	Verde
01.04.0062	MASSA CONGELADA DE PÃO DE QUEIJO TRADICIONAL GRANDE - CX 10 KG - 5 UN DE 2 KG	CX			10X7 = 70	70	D	3	7	6	25	19	13	4	3	2	1	1	1	34	1	Verde
01.04.0063	MASSA CONGELADA DE CHIPA QUEIJO CANASTRA 45G - 4KG CX	CX			10X7 = 70	70	C	26	109	24	216	144	96	9	6	4	3	2	1	59	1	Amarelo
01.04.0064	MASSA CONGELADA DE BISCOITO PALITO 3 QUEIJOS 45G - 4KG CX	CX			10X7 = 70	70	C	39	155	22	200	134	89	9	6	4	3	2	1	35	1	Amarelo
01.04.0066	PAO DE QUEIJO RECHEADO COM REQUEIJÃO 65G - 2KG	CX			10X7 = 70	70	B	167	399	113	792	566	340	7	5	3	11	8	5	200	3	Vermelho
01.04.0067	MASSA CONGELADA DE PAO DE QUEIJO RECHEADO COM GOIABADA - CX 10 KG – 5 UN DE 2 KG	CX			10X7 = 70	70	C	26	89	12	108	72	48	9	6	4	2	1	1	144	2	Verde
01.04.0068	MASSA CONGELADA DE PÃO DE QUEIJO COQUETEL EMPANADO - CX 10KG - 5 UN	CX			10X7 = 70	70	D	2	4	1	6	4	3	4	3	2	1	1	1	23	1	Verde
01.06.0001	CIABATTA TRADICIONAL - 10UN - PCT 1 KG - CX 4 KG	30x49x30	0.0441	4.29	8X5=40	40	C	20	108	12	108	72	48	9	6	4	3	2	1	31	1	Amarelo
01.06.0002	CIABATTA MULTIGRAOS - 10UN - 1KG	30x49x30	0.0441	4.29	8X5=40	40	D	2	4	0	0	0	0	4	3	2	1	1	1	32	1	Verde
01.06.0022	PÃO DE AZEITONA 500 GRS - 3 KILOS	30x49x30	0.0441	4.29	8X5=40	40	D	3	3	0	0	0	0	4	3	2	1	1	1	0	1	Verde
01.06.0024	PAO DE CALABRESA 500 GRMS - 3 KILOS	30x49x30	0.0441	4.29	8X5=40	40	D	2	2	2	8	6	4	4	3	2	1	1	1	20	1	Verde
01.06.0058	PÃO ITALIANO FILÃO 720 G 7 UNIDADES	49X39X30	0.05733	10.45	LASTRO 10x7 = 70	70	D	2	2	0	0	0	0	4	3	2	1	1	1	6	1	Verde
01.06.0059	PAO ITALIANO BOLA 720G - 7 UNIDADES	49X39X30	0.05733	10.45	LASTRO 10x7 = 70	70	D	2	2	0	0	0	0	4	3	2	1	1	1	0	1	Verde
01.09.0007	CIABATTA HOMEBAKE TRADICIONAL 3,6KG - 12 UNIDADES 300G	30x49x30	0.0441	4.29	8X5=40	40	C	28	121	39	347	231	154	9	6	4	9	6	4	832	21	Excedido
01.09.0008	CIABATTA HOMEBAKE COM GRAOS 3,6KG - 12 UNIDADES 300G	30x49x30	0.0441	4.29	8X5=40	40	C	23	120	26	234	156	104	9	6	4	6	4	3	800	20	Excedido
01.09.0009	MINI PAO ITALIANO HOMEBAKE 4,2KG - 14 UNIDADES 300G	30x49x30	0.0441	4.29	8X5=40	40	C	12	80	15	138	92	61	9	6	4	3	2	2	248	6	Excedido
01.09.0010	MINI BAGUETE LANCHE HOMEBAKE 3,6KG - 12 UNIDADES 300G	30x49x30	0.0441	4.29	8X5=40	40	C	18	58	29	259	173	115	9	6	4	6	4	3	1068	27	Excedido
01.09.0012	PAO FRANCES HOMEBAKE 3,24KG - 12 UNIDADES 270G	30x49x30	0.0441	3.24	10x4=40	40	C	50	86	41	373	248	166	9	6	4	9	6	4	872	22	Excedido
01.10.0003	CIABATTA TRADICINAL LEVIASSA 220G	30x49x30	0.0441	4.4	8x5=40	40	C	25	189	51	459	306	204	9	6	4	11	8	5	111	3	Vermelho
01.10.0004	CIABATTA COM GRAOS LEVIASSA	30x49x30	0.0441	4.4	5x8=40	40	D	8	44	17	68	51	34	4	3	2	2	1	1	158	4	Excedido
01.10.0006	MINI BAGUETE FRANCESA LEVIASSA 240 G	CX			8X5 = 40	40	C	10	43	20	177	118	79	9	6	4	4	3	2	197	5	Verde
01.10.0013	MINI BAGUETE FRANCESA LEVIASSA PT 220G CX 3,17 KG	CX			10X7 = 70	70	C	13	21	17	157	104	70	9	6	4	2	1	1	247	4	Verde
01.10.0014	CIABATTA TRADICINAL LEVIASSA PT 220G CX 3,17 KG	31x39x23	0.027807	3.15	LASTRO 10x7 = 70	70	C	21	45	25	227	151	101	9	6	4	3	2	1	249	4	Excedido
02.01.0004	CP PAO DE QUEIJO RECHEADO REQUEIJÃO	39x33x31	0.039897	8.765	LASTRO 10x7 = 70	70	C	80	140	90	810	540	360	9	6	4	12	8	5	405	6	Amarelo
02.01.0005	CP PAO DE QUEIJO TRADICIONAL - MAX LANCHE	39x33x31	0.039897	8.275	LASTRO 10x7 = 70	70	C	86	160	98	880	587	391	9	6	4	13	8	6	225	3	Vermelho
02.01.0007	MASSA CONGELADA DE PALITO 3 QUEIJOS - 2KG	CX			10X7 = 70	70	D	3	7	1	4	3	2	4	3	2	1	1	1	27	1	Verde
02.02.0032	MASSA CONGELADA DE CROISSANT DE 3 QUEIJOS - 11KG	31X39X23	0.027807		LASTRO 10x7 = 70	70	D	3	7	1	4	3	2	4	3	2	1	1	1	21	1	Verde
02.02.0033	MASSA CONGELADA DE CROISSANT DE CHOCOLATE - 12KG	31X39X23	0.027807		LASTRO 10x7 = 70	70	D	2	5	0	0	0	0	4	3	2	1	1	1	14	1	Verde
02.02.0034	MASSA CONG. DE CROISSANT DE FG COM REQUEIJAO - 12KG	31X39X23	0.027807		LASTRO 10x7 = 70	70	D	5	9	0	0	0	0	4	3	2	1	1	1	16	1	Verde
02.02.0035	MASSA CONG. DE CROISSANT DE QJ E PRESUNTO FATIADO - 12KG	30x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D	5	13	0	0	0	0	4	3	2	1	1	1	35	1	Verde
02.02.0036	MASSA CONGELADA DE CROISSANT SEM RECHEIO 12KG	30x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D	3	5	0	0	0	0	4	3	2	1	1	1	21	1	Verde
02.02.0038	EMPANADA DE CARNE 80G - CX 2.400 - PCT 30 UN	PCT			12X9 = 108	108	C	44	135	39	353	235	157	9	6	4	3	2	1	840	8	Verde
02.02.0044	RISOLES LAMINADO DE PRESUNTO E QUEIJO FRITO 150G	CX			12X8 = 96	96	C	55	296	99	891	594	396	9	6	4	9	6	4	1512	16	Verde
02.02.0045	RISOLES DE CARNE EMPANADA COM LINHAÇA 150G - FRITO	CX			12X8 = 96	96	C	27	104	56	506	337	225	9	6	4	5	4	2	1008	11	Verde
02.02.0046	EMPADA DE FRANGO MASSA TUNG C/ 12 UND CAIXA C/ 6 PCTS	CX			12X8 = 96	96	D	2	2	0	0	0	0	4	3	2	1	1	1	3	1	Verde
02.02.0047	COXINHA PAULISTA DE FRANGO COM REQUEIJÃO FRITA 150G	CX			12X8 = 96	96	D	4	8	3	11	8	5	4	3	2	1	1	1	70	1	Verde
02.02.0048	COXINHA PAULISTA DE FRANGO EMPANADA COM ORÉGANO FRITA 150G	CX			12X8 = 96	96	D	3	8	2	9	7	5	4	3	2	1	1	1	104	1	Verde
02.02.0049	BIG COXINHA PAULISTA DE FRANGO COM REQUEIJÃO FRITA 240G	CX			12X8 = 96	96	D	5	11	4	17	13	9	4	3	2	1	1	1	420	4	Verde
02.03.0001	PAO DE SONHO CONGELADO - CX 2,5KG	PCT			10X7 = 70	70	C	18	58	11	97	65	43	9	6	4	1	1	1	270	4	Verde
02.03.0013	PAO DE MINI SONHO CONGELADO - 100 UN - CX 2,5KG	CX			10X8 = 80	80	D	8	17	13	52	39	26	4	3	2	1	1	1	56	1	Verde
02.03.0039	BAGUETE CALABRESA COM CEBOLA CARAMELIZADA 140G	CX			10X12 = 120	120	C	29	71	22	196	131	87	9	6	4	2	1	1	400	3	Verde
02.03.0042	BAGUETE PARMESAO PERNIL - CX 10UN	25x26x17	0.01105	1.8	16x10=160	160	C	25	54	26	230	154	102	9	6	4	1	1	1	231	1	Verde
02.03.1003	MASSA CONGELADA DE FILAO DE LEITE CAIXA 4X2,5KG 10KG	CX			10X7 = 70	70	D	2	2	0	0	0	0	4	3	2	1	1	1	20	1	Verde
02.03.1004	MASSA CONGELADA DE BISNAGUINHA CAIXA 4X2,5KG 10KG	CX			10X7 = 70	70	D	2	4	2	7	5	3	4	3	2	1	1	1	9	1	Verde
02.03.1005	MASSA CONGELADA DE BENGALA CAIXA 4X2,5KG 10KG	CX			10X7 = 70	70	D	4	7	3	13	10	7	4	3	2	1	1	1	0	1	Verde
02.03.1006	MASSA CONGELADA TATUZÃO CAIXA 4X2,5KG 10KG	CX			10X7 = 70	70	D	0		0	0	0	0	4	3	2	1	1	1	4	1	Verde
02.03.1007	MASSA CONGELADA TATU CAIXA 4X2,5KG 10KG	30x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D	2	3	2	8	6	4	4	3	2	1	1	1	0	1	Verde
02.03.1008	MASSA CONGELADA ROSCA CARACOL CAIXA 4X2,5KG 10KG	30x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D	0		0	0	0	0	4	3	2	1	1	1	0	1	Verde
02.03.1009	MASSA CONG. ROSCA TRANÇADA GRANDE CAIXA 4X2,5KG 10KG	30x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D	2	3	1	4	3	2	4	3	2	1	1	1	0	1	Verde
02.03.1010	MASSA CONGELADA DE PÃO DE MILHO CAIXA 4X2,5KG 10KG	30x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	C	13	53	21	189	126	84	9	6	4	3	2	1	0	1	Amarelo
02.03.1011	MASSA CONGELADA DE PÃO DE CEBOLA CAIXA 4X2,5KG 10KG	31x39x23	0.1209	10.45	LASTRO 10x7 = 70	70	D	0		0	0	0	0	4	3	2	1	1	1	0	1	Verde
02.03.1012	MASSA CONGELADA DE PÃO DE BATATA CAIXA 4X2,5KG 10KG	31x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D	8	17	9	37	28	19	4	3	2	1	1	1	15	1	Verde
02.03.1013	MASSA CONGELADA DE PÃO DA FAZENDA CAIXA 4X2,5KG 10KG	31x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D	3	5	3	12	9	6	4	3	2	1	1	1	0	1	Verde
02.03.1014	MASSA CONGELADA DE HOT DOG CAIXA 4X2,5KG 10KG	31x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D	4	6	3	12	9	6	4	3	2	1	1	1	0	1	Verde
02.03.1015	MASSA CONG. DE PÃO DE HAMBURGUÉR CAIXA 4X2,5KG 10KG	31x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D	3	4	4	16	12	8	4	3	2	1	1	1	42	1	Verde
02.03.1016	MASSA CONG.DE FORROZINHO C/CREME E CHOC. CAIXA 4X2,5KG 10KG	31x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D	3	8	5	19	14	9	4	3	2	1	1	1	55	1	Verde
02.03.1017	MASSA CONG. DE FORROZINHO C/CREME E COCO CAIXA 4X2,5KG 10KG	31x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D	3	8	5	19	14	9	4	3	2	1	1	1	38	1	Verde
02.04.0001	MASSA CONGELADA DE PAO FRANCES BOLA RAPIDA - 5KG	PCT			10X7 = 70	70	C	52	200	35	311	207	138	9	6	4	4	3	2	420	6	Verde
02.03.1018	CROISSANT TRADICIONAL DE MASSA FOLHADA PREFERMENTADO CONGELADO 70G - 1 PCT DE 3,50KG	CX				70	D	0	1	0	0	0	0	4	1	-1	1	1	1	17	1	Verde
01.06.0027	PAO DE 3 CHOCOLATES - 10 UN - 3KG	CX				70	D	0		0	0	0	0	4	1	-1	1	1	1	0	1	Verde
01.06.0030	MINI BAGUETE RUSTICA TRADICIONAL - CX 5KG - 2 UN DE 2,5KG	CX				70	C	0		0	0	0	0	9	6	4	1	1	1	9	1	Verde
01.10.0015	CIABATTA COM GRÃOSL LEVIASSA- PT 0,220 KG- CX 2,64 KG- 12 UN	CX				70	C	0		0	0	0	0	9	6	4	1	1	1	0	1	Verde
